size, time
51826688,77435.601562
51826688,77435.664062
51826688,77435.718750
51826688,77435.789062
51826688,77435.859375
51826688,77435.921875
51826688,77435.984375
51826688,77436.046875
51826688,77436.109375
51826688,77436.187500
51826688,77436.250000
51826688,77436.312500
51826688,77436.375000
51826688,77436.445312
51826688,77436.515625
51826688,77436.578125
51826688,77436.640625
51826688,77436.703125
51826688,77436.773438
51826688,77436.843750
51826688,77436.914062
51826688,77436.976562
51826688,77437.039062
51826688,77437.101562
51826688,77437.171875
51826688,77437.234375
51826688,77437.304688
51826688,77437.367188
51826688,77437.437500
51826688,77437.507812
51826688,77437.570312
51826688,77437.632812
51826688,77437.695312
51826688,77437.773438
51826688,77437.843750
51826688,77437.906250
51826688,77437.968750
51826688,77438.039062
51826688,77438.101562
51826688,77438.171875
51826688,77438.242188
51826688,77438.304688
51826688,77438.367188
51826688,77438.429688
51826688,77438.507812
51826688,77438.570312
51826688,77438.632812
51826688,77438.695312
51826688,77438.765625
51826688,77438.828125
51826688,77438.898438
51826688,77438.960938
51826688,77439.023438
51826688,77439.101562
51826688,77439.171875
51826688,77439.234375
51826688,77439.296875
51826688,77439.359375
51826688,77439.429688
51826688,77439.492188
51826688,77439.562500
51826688,77439.625000
51826688,77439.687500
51826688,77439.750000
51826688,77439.812500
51826688,77439.890625
51826688,77439.953125
51826688,77440.015625
51826688,77440.078125
51826688,77440.140625
51826688,77440.218750
51826688,77440.281250
51826688,77440.343750
51826688,77440.406250
51826688,77440.476562
51826688,77440.546875
51826688,77440.609375
51826688,77440.671875
51826688,77440.734375
51826688,77440.796875
51826688,77440.875000
51826688,77440.937500
51826688,77441.000000
51826688,77441.062500
51826688,77441.125000
51826688,77441.195312
51826688,77441.265625
51826688,77441.328125
51826688,77441.390625
51826688,77441.453125
51826688,77441.523438
51826688,77441.585938
51826688,77441.648438
51826688,77441.710938
51826688,77441.781250
51826688,77441.851562
51826688,77441.914062
51826688,77441.976562
51826688,77442.039062
51826688,77442.101562
51826688,77442.171875
51826688,77442.242188
51826688,77442.304688
51826688,77442.367188
51826688,77442.429688
51826688,77442.492188
51826688,77442.562500
51826688,77442.625000
51826688,77442.695312
51826688,77442.757812
51826688,77442.820312
51826688,77442.890625
51826688,77442.953125
51826688,77443.015625
51826688,77443.078125
51826688,77443.148438
51826688,77443.218750
51826688,77443.281250
51826688,77443.343750
51826688,77443.406250
51826688,77443.468750
51826688,77443.539062
51826688,77443.601562
51826688,77443.671875
51826688,77443.710938
51826688,77443.781250
51826688,77443.851562
51826688,77443.914062
51826688,77443.984375
51826688,77444.046875
51826688,77444.109375
51826688,77444.179688
51826688,77444.242188
51826688,77444.312500
51826688,77444.375000
51826688,77444.437500
51826688,77444.507812
51826688,77444.578125
51826688,77444.640625
51826688,77444.703125
51826688,77444.773438
51826688,77444.843750
51826688,77444.906250
51826688,77444.968750
51826688,77445.039062
51826688,77445.101562
51826688,77445.171875
51826688,77445.234375
51826688,77445.296875
51826688,77445.359375
51826688,77445.421875
51826688,77445.484375
51826688,77445.562500
51826688,77445.625000
51826688,77445.687500
51826688,77445.750000
51826688,77445.812500
51826688,77445.882812
51826688,77445.953125
51826688,77446.015625
51826688,77446.078125
51826688,77446.140625
51826688,77446.210938
51826688,77446.273438
51826688,77446.335938
51826688,77446.398438
51826688,77446.468750
51826688,77446.539062
51826688,77446.601562
51826688,77446.664062
51826688,77446.726562
51826688,77446.789062
51826688,77446.859375
51826688,77446.929688
51826688,77446.992188
51826688,77447.054688
51826688,77447.117188
51826688,77447.187500
51826688,77447.250000
51826688,77447.312500
51826688,77447.375000
51826688,77447.445312
51826688,77447.515625
51826688,77447.578125
51826688,77447.640625
51826688,77447.687500
51826688,77447.750000
51826688,77447.812500
51826688,77447.890625
51826688,77447.953125
51826688,77448.015625
51826688,77448.078125
51826688,77448.148438
51826688,77448.218750
51826688,77448.281250
51826688,77448.343750
51826688,77448.414062
51826688,77448.476562
51826688,77448.546875
51826688,77448.609375
51826688,77448.679688
51826688,77448.742188
51826688,77448.804688
51826688,77448.882812
51826688,77448.953125
51826688,77449.015625
51826688,77449.078125
51826688,77449.140625
51826688,77449.210938
51826688,77449.281250
51826688,77449.343750
51826688,77449.406250
51826688,77449.468750
51826688,77449.539062
51826688,77449.601562
51826688,77449.671875
51826688,77449.734375
51826688,77449.796875
51826688,77449.867188
51826688,77449.937500
51826688,77450.000000
51826688,77450.062500
51826688,77450.125000
51826688,77450.195312
51826688,77450.265625
51826688,77450.328125
51826688,77450.390625
51826688,77450.453125
51826688,77450.531250
51826688,77450.593750
51826688,77450.656250
51826688,77450.718750
51826688,77450.781250
51826688,77450.851562
51826688,77450.914062
51826688,77450.976562
51826688,77451.046875
51826688,77451.109375
51826688,77451.179688
51826688,77451.242188
51826688,77451.304688
51826688,77451.367188
51826688,77451.437500
51826688,77451.507812
51826688,77451.570312
51826688,77451.632812
51826688,77451.710938
51826688,77451.781250
51826688,77451.851562
51826688,77451.914062
51826688,77451.984375
51826688,77452.046875
51826688,77452.109375
51826688,77452.179688
51826688,77452.242188
51826688,77452.312500
51826688,77452.375000
51826688,77452.437500
51826688,77452.507812
51826688,77452.578125
51826688,77452.640625
51826688,77452.703125
51826688,77452.773438
51826688,77452.843750
51826688,77452.906250
51826688,77452.968750
51826688,77453.039062
51826688,77453.101562
51826688,77453.171875
51826688,77453.234375
51826688,77453.296875
51826688,77453.359375
51826688,77453.421875
51826688,77453.484375
51826688,77453.562500
51826688,77453.625000
51826688,77453.687500
51826688,77453.750000
51826688,77453.812500
51826688,77453.882812
51826688,77453.953125
51826688,77454.015625
51826688,77454.078125
51826688,77454.140625
51826688,77454.210938
51826688,77454.273438
51826688,77454.335938
51826688,77454.398438
51826688,77454.468750
51826688,77454.539062
51826688,77454.601562
51826688,77454.664062
51826688,77454.726562
51826688,77454.789062
51826688,77454.867188
51826688,77454.929688
51826688,77454.992188
51826688,77455.054688
51826688,77455.117188
51826688,77455.187500
51826688,77455.250000
51826688,77455.312500
51826688,77455.382812
51826688,77455.445312
51826688,77455.515625
51826688,77455.578125
51826688,77455.640625
51826688,77455.687500
51826688,77455.750000
51826688,77455.812500
51826688,77455.890625
51826688,77455.953125
51826688,77456.015625
51826688,77456.078125
51826688,77456.140625
51826688,77456.218750
51826688,77456.281250
51826688,77456.343750
51826688,77456.406250
51826688,77456.476562
51826688,77456.546875
51826688,77456.609375
51826688,77456.671875
51826688,77456.734375
51826688,77456.804688
51826688,77456.882812
51826688,77456.945312
51826688,77457.007812
51826688,77457.070312
51826688,77457.132812
51826688,77457.203125
51826688,77457.265625
51826688,77457.328125
51826688,77457.398438
51826688,77457.460938
51826688,77457.531250
51826688,77457.593750
51826688,77457.656250
51826688,77457.718750
51826688,77457.781250
51826688,77457.859375
51826688,77457.921875
51826688,77457.984375
51826688,77458.046875
51826688,77458.109375
51826688,77458.179688
51826688,77458.242188
51826688,77458.304688
51826688,77458.375000
51826688,77458.437500
51826688,77458.507812
51826688,77458.570312
51826688,77458.632812
51826688,77458.695312
51826688,77458.765625
51826688,77458.828125
51826688,77458.898438
51826688,77458.960938
51826688,77459.023438
51826688,77459.085938
51826688,77459.148438
51826688,77459.218750
51826688,77459.289062
51826688,77459.351562
51826688,77459.414062
51826688,77459.476562
51826688,77459.546875
51826688,77459.609375
51826688,77459.679688
51826688,77459.742188
51826688,77459.804688
51826688,77459.875000
51826688,77459.937500
51826688,77460.007812
51826688,77460.070312
51826688,77460.132812
51826688,77460.203125
51826688,77460.273438
51826688,77460.335938
51826688,77460.398438
51826688,77460.460938
51826688,77460.539062
51826688,77460.601562
51826688,77460.664062
51826688,77460.726562
51826688,77460.796875
51826688,77460.867188
51826688,77460.929688
51826688,77460.992188
51826688,77461.054688
51826688,77461.117188
51826688,77461.187500
51826688,77461.250000
51826688,77461.312500
51826688,77461.382812
51826688,77461.445312
51826688,77461.515625
51826688,77461.578125
51826688,77461.640625
51826688,77461.703125
51826688,77461.765625
51826688,77461.851562
51826688,77461.914062
51826688,77461.976562
51826688,77462.039062
51826688,77462.101562
51826688,77462.171875
51826688,77462.242188
51826688,77462.304688
51826688,77462.367188
51826688,77462.429688
51826688,77462.492188
51826688,77462.562500
51826688,77462.625000
51826688,77462.687500
51826688,77462.750000
51826688,77462.820312
51826688,77462.890625
51826688,77462.953125
51826688,77463.015625
51826688,77463.078125
51826688,77463.140625
51826688,77463.218750
51826688,77463.281250
51826688,77463.343750
51826688,77463.406250
51826688,77463.468750
51826688,77463.539062
51826688,77463.601562
51826688,77463.664062
51826688,77463.710938
51826688,77463.781250
51826688,77463.851562
51826688,77463.914062
51826688,77463.976562
51826688,77464.046875
51826688,77464.109375
51826688,77464.179688
51826688,77464.242188
51826688,77464.304688
51826688,77464.375000
51826688,77464.437500
51826688,77464.507812
51826688,77464.570312
51826688,77464.640625
51826688,77464.703125
51826688,77464.773438
51826688,77464.843750
51826688,77464.906250
51826688,77464.968750
51826688,77465.031250
51826688,77465.093750
51826688,77465.171875
51826688,77465.234375
51826688,77465.296875
51826688,77465.359375
51826688,77465.421875
51826688,77465.484375
51826688,77465.554688
51826688,77465.617188
51826688,77465.687500
51826688,77465.750000
51826688,77465.812500
51826688,77465.882812
51826688,77465.945312
51826688,77466.007812
51826688,77466.078125
51826688,77466.140625
51826688,77466.210938
51826688,77466.273438
51826688,77466.335938
51826688,77466.398438
51826688,77466.460938
51826688,77466.531250
51826688,77466.601562
51826688,77466.664062
51826688,77466.726562
51826688,77466.789062
51826688,77466.859375
51826688,77466.921875
51826688,77466.992188
51826688,77467.054688
51826688,77467.117188
51826688,77467.187500
51826688,77467.250000
51826688,77467.312500
51826688,77467.375000
51826688,77467.437500
51826688,77467.515625
51826688,77467.578125
51826688,77467.640625
51826688,77467.687500
51826688,77467.750000
51826688,77467.812500
51826688,77467.882812
51826688,77467.953125
51826688,77468.015625
